id0, pi0:0, 10pcs, R,1ohm, THT, 
id1, pi1:1, 10pcs, R, 2.2ohm, THT, 
id2, pi2:2, 10pcs, R, 2.7ohm, THT,
id3, pi3:3, 10pcs, R, 4.7ohm, THT, 
id4, pi4:4, 10pcs, R, 5.6ohm, THT, 
id5, pi5:5, 10pcs, R, 7.5ohm, THT,
id6, pi6:6, 10pcs, R, 8.5ohm, THT, 
id7, pi7:7, 10pcs, R, 10ohm, THT, 
id8, pi8:8, 3pcs, R, 12ohm, THT, 
id9, pi9:9, 10pcs, R, 15ohm, THT, 
id10, pi10:10, 1pcs, R, 18ohm, THT, 
id11, pi11:11, 10pcs, R, 22ohm, THT, 
id12, pi12:12, 10pcs, R, 27ohm, THT, 
id13, pi13:13, 10pcs, R, 33ohm, THT,
id14, pi14:14, 10pcs, R, 39ohm, THT, 
id15, pi15:15, 10pcs, R, 47ohm, THT, 
id16, pi16:16, 10pcs, R, 56ohm, THT, 
id17, pi17:17, 10pcs, R, 68ohm, THT, 
id18, pi18:18, 10pcs, R, 75ohm, THT, 
id19, pi19:19, 10pcs, R, 82ohm, THT, 
id20, pi20:20, 10pcs, R, 100ohm, THT, 
id21, pi21:21, 10pcs, R, 120ohm, THT, 
id22, pi22:22, 10pcs, R, 150ohm, THT, 
id23, pi23:23, 10pcs, R, 180hohm, THT, 
id24, pi24:24, 10pcs, R, 220ohm, THT, 
id25, pi25:25, 10pcs, R, 270ohm, THT, 
id26, pi26:26, 10pcs, R, 330ohm, THT, 
id27, pi27:27, 10pcs, R, 390ohm, THT, 
id28, pi28:28, 10pcs, R, 470ohm, THT, 
id29, pi29:29, 10pcs, R, 510ohm, THT, 
id30, pi30:30, 10pcs, R, 560ohm, THT, 
id31, pi31:31, 10pcs, R, 680ohm, THT, 
id32, pi32:32, 10pcs, R, 820ohm, THT, 
id33, pi33:33, 0pcs, R, 920ohm, THT, 
id34, pi34:34, 10pcs, R, 1k, THT, 
id35, pi35:35, 10pcs, R, SMD,
id172, pi172:172, 1pcs, C, SMD, 
id173, pi173:173, 1pcs, C, SMD, 
id174, pi174:174, 1pcs, C, SMD, 
id175, pi175:175, 1pcs, C, SMD, 
id176, pi176:176, 1pcs, C, SMD, 
id177, pi177:177, 1pcs, C, SMD, 
id178, pi178:178, 1pcs, C, SMD, 
id179, pi179:179, 1pcs, C, SMD, 
id180, pi180:180, 1pcs, C, SMD, 
id181, pi181:181, 1pcs, C, SMD, 
id182, pi182:182, 1pcs, C, SMD, 
id183, pi183:183, 1pcs, C, SMD, 
id184, pi184:184, 1pcs, C, SMD, 
id185, pi185:185, 1pcs, C, SMD, 
id186, pi186:186, 1pcs, C, SMD, 
id187, pi187:187, 1pcs, C, SMD, 
id188, pi188:188, 1pcs, C, SMD, 
id189, pi189:189, 1pcs, C, SMD, 
id190, pi190:190, 1pcs, C, SMD, 
id191, pi191:191, 1pcs, C, SMD, 
id192, pi192:192, 1pcs, C, SMD, 
id193, pi193:193, 1pcs, C, SMD, 
id194, pi194:194, 1pcs, C, SMD, 
id195, pi195:195, 1pcs, C, SMD, 
id196, pi196:196, 1pcs, C, SMD, 
id197, pi197:197, 1pcs, C, SMD, 
id198, pi198:198, 1pcs, C, SMD, 
id199, pi199:199, 1pcs, C, SMD, 
id200, pi200:200, 1pcs, C, SMD, 
id201, pi201:201, 1pcs, C, SMD, 
id202, pi202:202, 1pcs, C, SMD, 
id203, pi203:203, 1pcs, C, SMD, 
id204, pi204:204, 1pcs, C, SMD, 
id205, pi205:205, 1pcs, C, SMD, 
id206, pi206:206, 1pcs, C, SMD, 
id207, pi207:207, 1pcs, C, SMD, 
id208, pi208:208, 1pcs, C, SMD, 
id209, pi209:209, 1pcs, C, SMD, 
id210, pi210:210, 1pcs, C, SMD, 
id211, pi211:211, 1pcs, C, SMD, 
id212, pi212:212, 1pcs, C, SMD, 
id213, pi213:213, 1pcs, C, SMD, 
id214, pi214:214, 1pcs, C, SMD, 
id215, pi215:215, 1pcs, C, SMD, 
id216, pi216:216, 1pcs, C, SMD, 
id217, pi217:217, 1pcs, C, SMD, 
id218, pi218:218, 1pcs, C, SMD, 
id219, pi219:219, 1pcs, C, SMD, 
id220, pi220:220, 1pcs, C, SMD, 
id221, pi221:221, 1pcs, C, SMD, 
id222, pi222:222, 1pcs, C, SMD, 
id223, pi223:223, 1pcs, C, SMD, 
id224, pi224:224, 1pcs, C, SMD, 
id225, pi225:225, 1pcs, C, SMD, 
id226, pi226:226, 1pcs, C, SMD, 
id227, pi227:227, 1pcs, C, SMD, 
id228, pi228:228, 1pcs, C, SMD, 
id229, pi229:229, 1pcs, C, SMD, 
id230, pi230:230, 1pcs, C, SMD, 
id231, pi231:231, 1pcs, C, SMD, 
id232, pi232:232, 1pcs, C, SMD, 
id233, pi233:233, 1pcs, C, SMD, 
id234, pi234:234, 1pcs, C, SMD, 
id235, pi235:235, 1pcs, C, SMD, 
id236, pi236:236, 1pcs, C, SMD, 
id237, pi237:237, 1pcs, C, SMD, 
id238, pi238:238, 1pcs, C, SMD, 
id239, pi239:239, 1pcs, C, SMD, 
id240, pi240:240, 1pcs, C, SMD, 
id241, pi241:241, 1pcs, C, SMD, 
id242, pi242:242, 1pcs, C, SMD, 
id243, pi243:243, 1pcs, C, SMD, 
id244, pi244:244, 1pcs, C, SMD, 
id245, pi245:245, 1pcs, C, SMD, 
id246, pi246:246, 1pcs, C, SMD, 
id247, pi247:247, 1pcs, C, SMD, 
id248, pi248:248, 1pcs, C, SMD, 
id249, pi249:249, 1pcs, C, SMD, 
id250, pi250:250, 1pcs, C, SMD, 
id251, pi251:251, 1pcs, C, SMD, 
id252, pi252:252, 1pcs, C, SMD, 
id253, pi253:253, 1pcs, C, SMD, 
id254, pi254:254, 1pcs, C, SMD, 
id255, pi255:255, 1pcs, C, SMD, 
id256, pi256:256, 1pcs, C, SMD, 
id257, pi257:257, 1pcs, C, SMD, 
id258, pi258:258, 1pcs, C, SMD, 
id259, pi259:259, 1pcs, C, SMD, 
id260, pi260:260, 1pcs, C, SMD, 
id261, pi261:261, 1pcs, C, SMD, 
id262, pi262:262, 1pcs, C, SMD, 
id263, pi263:263, 1pcs, C, SMD, 
id264, pi264:264, 1pcs, C, SMD, 
id265, pi265:265, 1pcs, C, SMD, 
id266, pi266:266, 1pcs, C, SMD, 
id267, pi267:267, 1pcs, C, SMD, 
id268, pi268:268, 1pcs, C, SMD, 
id269, pi269:269, 1pcs, C, SMD, 
id270, pi270:270, 1pcs, C, SMD, 
id271, pi271:271, 1pcs, C, SMD, 
id272, pi272:272, 1pcs, C, SMD, 
id273, pi273:273, 1pcs, C, SMD, 
id274, pi274:274, 1pcs, C, SMD, 
id275, pi275:275, 1pcs, C, SMD, 
id276, pi276:276, 1pcs, C, SMD, 
id277, pi277:277, 1pcs, C, SMD, 
id278, pi278:278, 1pcs, C, SMD, 
id279, pi279:279, 1pcs, C, SMD, 
id280, pi280:280, 1pcs, C, SMD, 
id281, pi281:281, 1pcs, C, SMD, 
id282, pi282:282, 1pcs, C, SMD, 
id283, pi283:283, 1pcs, C, SMD, 
id284, pi284:284, 1pcs, C, SMD, 
id285, pi285:285, 1pcs, C, SMD, 
id286, pi286:286, 1pcs, C, SMD, 
id287, pi287:287, 1pcs, C, SMD, 
id288, pi288:288, 1pcs, C, SMD, 
id289, pi289:289, 1pcs, C, SMD, 
id290, pi290:290, 1pcs, C, SMD, 
id291, pi291:291, 1pcs, C, SMD, 
id292, pi292:292, 1pcs, C, SMD, 
id293, pi293:293, 1pcs, C, SMD, 
id294, pi294:294, 1pcs, C, SMD, 
id295, pi295:295, 1pcs, C, SMD, 
id296, pi296:296, 1pcs, C, SMD, 
id297, pi297:297, 1pcs, C, SMD, 
id298, pi298:298, 1pcs, C, SMD, 
id299, pi299:299, 1pcs, C, SMD, 
id300, pi300:300, 1pcs, C, SMD, 
id301, pi301:301, 1pcs, C, SMD, 
id302, pi302:302, 1pcs, C, SMD, 
id303, pi303:303, 1pcs, C, SMD, 
id304, pi304:304, 1pcs, C, SMD, 
id305, pi305:305, 1pcs, C, SMD, 
id306, pi306:306, 1pcs, C, SMD, 
id307, pi307:307, 1pcs, C, SMD, 
id308, pi308:308, 1pcs, C, SMD, 
id309, pi309:309, 1pcs, C, SMD, 
id310, pi310:310, 1pcs, C, SMD, 
id311, pi311:311, 1pcs, C, SMD, 
id312, pi312:312, 1pcs, C, SMD, 
id313, pi313:313, 1pcs, C, SMD, 
id314, pi314:314, 1pcs, C, SMD, 
id315, pi315:315, 1pcs, C, SMD, 
id316, pi316:316, 1pcs, C, SMD, 
id317, pi317:317, 1pcs, C, SMD, 
id318, pi318:318, 1pcs, C, SMD, 
id319, pi319:319, 1pcs, C, SMD, 
id320, pi320:320, 1pcs, C, SMD, 
id321, pi321:321, 1pcs, C, SMD, 
id322, pi322:322, 1pcs, C, SMD, 
id323, pi323:323, 1pcs, C, SMD, 
id324, pi324:324, 1pcs, C, SMD, 
id325, pi325:325, 1pcs, C, SMD, 
id326, pi326:326, 1pcs, C, SMD, 
id327, pi327:327, 1pcs, C, SMD, 
id328, pi328:328, 1pcs, C, SMD, 
id329, pi329:329, 1pcs, C, SMD, 
id330, pi330:330, 1pcs, C, SMD, 
id331, pi331:331, 1pcs, C, SMD, 
id332, pi332:332, 1pcs, C, SMD, 
id333, pi333:333, 1pcs, C, SMD, 
id334, pi334:334, 1pcs, C, SMD, 
id335, pi335:335, 1pcs, C, SMD, 
id336, pi336:336, 1pcs, C, SMD, 
id337, pi337:337, 1pcs, C, SMD, 
id338, pi338:338, 1pcs, C, SMD, 
id339, pi339:339, 1pcs, C, SMD, 
id340, pi340:340, 1pcs, C, SMD, 
id341, pi341:341, 1pcs, C, SMD, 
id342, pi342:342, 1pcs, C, SMD, 
id343, pi343:343, 1pcs, C, SMD, 
id344, pi344:344, 1pcs, C, SMD, 
id345, pi345:345, 1pcs, C, SMD, 
id346, pi346:346, 1pcs, C, SMD, 
id347, pi347:347, 1pcs, C, SMD, 
id348, pi348:348, 1pcs, C, SMD, 
id349, pi349:349, 1pcs, C, SMD, 
id350, pi350:350, 1pcs, C, SMD, 
id351, pi351:351, 1pcs, C, SMD, 
id352, pi352:352, 1pcs, C, SMD, 
id353, pi353:353, 1pcs, C, SMD, 
id354, pi354:354, 1pcs, C, SMD, 
id355, pi355:355, 1pcs, C, SMD, 
id356, pi356:356, 1pcs, C, SMD, 
id357, pi357:357, 1pcs, C, SMD, 
id358, pi358:358, 1pcs, C, SMD, 
id359, pi359:359, 1pcs, C, SMD, 
id360, pi360:360, 1pcs, C, SMD, 
id361, pi361:361, 1pcs, C, SMD, 
id362, pi362:362, 1pcs, C, SMD, 
id363, pi363:363, 1pcs, C, SMD, 
id364, pi364:364, 1pcs, C, SMD, 
id365, pi365:365, 1pcs, C, SMD, 
id366, pi366:366, 1pcs, C, SMD, 
id367, pi367:367, 1pcs, C, SMD, 
id368, pi368:368, 1pcs, C, SMD, 
id369, pi369:369, 1pcs, C, SMD, 
id370, pi370:370, 1pcs, C, SMD, 
id371, pi371:371, 1pcs, C, SMD, 
id372, pi372:372, 1pcs, C, SMD, 
id373, pi373:373, 1pcs, C, SMD, 
id374, pi374:374, 1pcs, C, SMD, 
id375, pi375:375, 1pcs, C, SMD, 
id376, pi376:376, 1pcs, C, SMD, 
id377, pi377:377, 1pcs, C, SMD, 
id378, pi378:378, 1pcs, C, SMD, 
id379, pi379:379, 1pcs, C, SMD, 
id380, pi380:380, 1pcs, C, SMD, 
id381, pi381:381, 1pcs, C, SMD, 
id382, pi382:382, 1pcs, C, SMD, 
id383, pi383:383, 1pcs, C, SMD, 
id384, pi384:384, 1pcs, C, SMD, 
id385, pi385:385, 1pcs, C, SMD, 
id386, pi386:386, 1pcs, C, SMD, 
id387, pi387:387, 1pcs, C, SMD, 
id388, pi388:388, 1pcs, C, SMD, 
id389, pi389:389, 1pcs, C, SMD, 
id390, pi390:390, 1pcs, C, SMD, 
id391, pi391:391, 1pcs, C, SMD, 
id392, pi392:392, 1pcs, C, SMD, 
id393, pi393:393, 1pcs, C, SMD, 
id394, pi394:394, 1pcs, C, SMD, 
id395, pi395:395, 1pcs, C, SMD, 
id396, pi396:396, 1pcs, C, SMD, 
id397, pi397:397, 1pcs, C, SMD, 
id398, pi398:398, 1pcs, C, SMD, 
id399, pi399:399, 1pcs, C, SMD, 
id400, pi400:400, 1pcs, C, SMD, 
id401, pi401:401, 1pcs, C, SMD, 
id402, pi402:402, 1pcs, C, SMD, 
id403, pi403:403, 1pcs, C, SMD, 
id404, pi404:404, 1pcs, C, SMD, 
id405, pi405:405, 1pcs, C, SMD, 
id406, pi406:406, 1pcs, C, SMD, 
id407, pi407:407, 1pcs, C, SMD, 
id408, pi408:408, 1pcs, C, SMD, 
id409, pi409:409, 1pcs, C, SMD, 
id410, pi410:410, 1pcs, C, SMD, 
id411, pi411:411, 1pcs, C, SMD, 
id412, pi412:412, 1pcs, C, SMD, 
id413, pi413:413, 1pcs, C, SMD, 
id414, pi414:414, 1pcs, C, SMD, 
id415, pi415:415, 1pcs, C, SMD, 
id416, pi416:416, 1pcs, C, SMD, 
id417, pi417:417, 1pcs, C, SMD, 
id418, pi418:418, 1pcs, C, SMD, 
id419, pi419:419, 1pcs, C, SMD, 
